x,y,z,rho_0,rho_1
0.0,7.0,18.0,2.1649522e-17,1.0
0.0,7.0,19.0,3.8860038e-15,1.0
0.0,7.0,20.0,3.384447e-13,1.0
0.0,7.0,21.0,1.5240715e-11,1.0
0.0,7.0,22.0,3.775748e-10,1.0
0.0,7.0,23.0,5.4617786e-09,1.0
0.0,7.0,24.0,4.878293e-08,0.99999994
0.0,7.0,25.0,2.8315927e-07,0.9999997
0.0,7.0,26.0,1.1177549e-06,0.99999887
0.0,7.0,27.0,3.118872e-06,0.9999969
0.0,7.0,28.0,6.345007e-06,0.9999937
0.0,7.0,29.0,9.627051e-06,0.99999034
0.0,7.0,30.0,1.1045249e-05,0.999989
0.0,7.0,31.0,9.627051e-06,0.99999034
0.0,7.0,32.0,6.345007e-06,0.9999937
0.0,7.0,33.0,3.118872e-06,0.9999969
0.0,7.0,34.0,1.1177549e-06,0.99999887
0.0,7.0,35.0,2.8315927e-07,0.9999997
0.0,7.0,36.0,4.878293e-08,0.99999994
0.0,7.0,37.0,5.4617786e-09,1.0
0.0,7.0,38.0,3.775748e-10,1.0
0.0,7.0,39.0,1.5240715e-11,1.0
0.0,7.0,40.0,3.384447e-13,1.0
0.0,7.0,41.0,3.8860038e-15,1.0
0.0,7.0,42.0,2.1649522e-17,1.0
0.0,7.0,43.0,5.488343e-20,1.0
0.0,7.0,44.0,5.938733e-23,1.0
0.0,7.0,45.0,2.5751081e-26,1.0
0.0,7.0,46.0,4.2072346e-30,1.0
0.0,7.0,47.0,2.4396988e-34,1.0
0.0,7.0,48.0,4.740647e-39,1.0
0.0,7.0,49.0,3e-44,1.0
0.0,7.0,50.0,0.0,1.0
0.0,7.0,51.0,0.0,1.0
0.0,7.0,52.0,0.0,1.0
0.0,7.0,53.0,0.0,1.0
0.0,7.0,54.0,0.0,1.0
0.0,7.0,55.0,0.0,1.0
0.0,7.0,56.0,0.0,1.0
0.0,7.0,57.0,0.0,1.0
0.0,7.0,58.0,0.0,1.0
0.0,7.0,59.0,0.0,1.0
0.0,8.0,0.0,0.0,1.0
0.0,8.0,1.0,0.0,1.0
0.0,8.0,2.0,0.0,1.0
0.0,8.0,3.0,0.0,1.0
0.0,8.0,4.0,0.0,1.0
0.0,8.0,5.0,0.0,1.0
0.0,8.0,6.0,0.0,1.0
0.0,8.0,7.0,0.0,1.0
0.0,8.0,8.0,0.0,1.0
0.0,8.0,9.0,0.0,1.0
0.0,8.0,10.0,2.12e-43,1.0
0.0,8.0,11.0,5.913438e-38,1.0
0.0,8.0,12.0,4.9296266e-33,1.0
0.0,8.0,13.0,1.2961933e-28,1.0
0.0,8.0,14.0,1.1391169e-24,1.0
0.0,8.0,15.0,3.556188e-21,1.0
0.0,8.0,16.0,4.2031045e-18,1.0
0.0,8.0,17.0,2.0092242e-15,1.0
0.0,8.0,18.0,4.1587092e-13,1.0
0.0,8.0,19.0,3.9951282e-11,1.0
0.0,8.0,20.0,1.9107078e-09,1.0
0.0,8.0,21.0,4.878293e-08,0.99999994
0.0,8.0,22.0,7.11991e-07,0.9999993
0.0,8.0,23.0,6.345007e-06,0.9999937
0.0,8.0,24.0,3.67349e-05,0.9999633
0.0,8.0,25.0,0.00014625759,0.99985373
0.0,8.0,26.0,0.00042115236,0.99957883
0.0,8.0,27.0,0.0009154734,0.99908453
0.0,8.0,28.0,0.0015546206,0.9984454
0.0,8.0,29.0,0.0021145314,0.99788547
0.0,8.0,30.0,0.0023388674,0.9976611
0.0,8.0,31.0,0.0021145314,0.99788547
0.0,8.0,32.0,0.0015546206,0.9984454
0.0,8.0,33.0,0.0009154734,0.99908453
0.0,8.0,34.0,0.00042115236,0.99957883
0.0,8.0,35.0,0.00014625759,0.99985373
0.0,8.0,36.0,3.67349e-05,0.9999633
0.0,8.0,37.0,6.345007e-06,0.9999937
0.0,8.0,38.0,7.11991e-07,0.9999993
0.0,8.0,39.0,4.878293e-08,0.99999994
0.0,8.0,40.0,1.9107078e-09,1.0
0.0,8.0,41.0,3.9951282e-11,1.0
0.0,8.0,42.0,4.1587092e-13,1.0
0.0,8.0,43.0,2.0092242e-15,1.0
0.0,8.0,44.0,4.2031045e-18,1.0
0.0,8.0,45.0,3.556188e-21,1.0
0.0,8.0,46.0,1.1391169e-24,1.0
0.0,8.0,47.0,1.2961933e-28,1.0
0.0,8.0,48.0,4.9296266e-33,1.0
0.0,8.0,49.0,5.913438e-38,1.0
0.0,8.0,50.0,2.12e-43,1.0
0.0,8.0,51.0,0.0,1.0
0.0,8.0,52.0,0.0,1.0
0.0,8.0,53.0,0.0,1.0
0.0,8.0,54.0,0.0,1.0
0.0,8.0,55.0,0.0,1.0
0.0,8.0,56.0,0.0,1.0
0.0,8.0,57.0,0.0,1.0
0.0,8.0,58.0,0.0,1.0
0.0,8.0,59.0,0.0,1.0
0.0,9.0,0.0,0.0,1.0
0.0,9.0,1.0,0.0,1.0
0.0,9.0,2.0,0.0,1.0
0.0,9.0,3.0,0.0,1.0
0.0,9.0,4.0,0.0,1.0
0.0,9.0,5.0,0.0,1.0
0.0,9.0,6.0,0.0,1.0
0.0,9.0,7.0,0.0,1.0
0.0,9.0,8.0,0.0,1.0
0.0,9.0,9.0,4.09e-43,1.0
0.0,9.0,10.0,2.0685159e-37,1.0
0.0,9.0,11.0,2.9319656e-32,1.0
0.0,9.0,12.0,1.2280457e-27,1.0
0.0,9.0,13.0,1.6095714e-23,1.0
0.0,9.0,14.0,7.0162784e-20,1.0
0.0,9.0,15.0,1.08491434e-16,1.0
0.0,9.0,16.0,6.3692114e-14,1.0
0.0,9.0,17.0,1.5240715e-11,1.0
0.0,9.0,18.0,1.6000312e-09,1.0
0.0,9.0,19.0,7.949249e-08,0.99999994
0.0,9.0,20.0,2.0182156e-06,0.999998
0.0,9.0,21.0,2.8280563e-05,0.99997175
0.0,9.0,22.0,0.00023594555,0.999764
0.0,9.0,23.0,0.0012610325,0.99873894
0.0,9.0,24.0,0.004625724,0.99537426
0.0,9.0,25.0,0.012403254,0.98759675
0.0,9.0,26.0,0.02569786,0.9743021
0.0,9.0,27.0,0.043105848,0.95689416
0.0,9.0,28.0,0.060739525,0.9392605
0.0,9.0,29.0,0.07382722,0.9261728
0.0,9.0,30.0,0.0786496,0.9213504
0.0,9.0,31.0,0.07382722,0.9261728
0.0,9.0,32.0,0.060739525,0.9392605
0.0,9.0,33.0,0.043105848,0.95689416
0.0,9.0,34.0,0.02569786,0.9743021
0.0,9.0,35.0,0.012403254,0.98759675
0.0,9.0,36.0,0.004625724,0.99537426
0.0,9.0,37.0,0.0012610325,0.99873894
0.0,9.0,38.0,0.00023594555,0.999764
0.0,9.0,39.0,2.8280563e-05,0.99997175
0.0,9.0,40.0,2.0182156e-06,0.999998
0.0,9.0,41.0,7.949249e-08,0.99999994
0.0,9.0,42.0,1.6000312e-09,1.0
0.0,9.0,43.0,1.5240715e-11,1.0
0.0,9.0,44.0,6.3692114e-14,1.0
0.0,9.0,45.0,1.08491434e-16,1.0
0.0,9.0,46.0,7.0162784e-20,1.0
0.0,9.0,47.0,1.6095714e-23,1.0
0.0,9.0,48.0,1.2280457e-27,1.0
0.0,9.0,49.0,2.9319656e-32,1.0
0.0,9.0,50.0,2.0685159e-37,1.0
0.0,9.0,51.0,4.09e-43,1.0
0.0,9.0,52.0,0.0,1.0
0.0,9.0,53.0,0.0,1.0
0.0,9.0,54.0,0.0,1.0
0.0,9.0,55.0,0.0,1.0
0.0,9.0,56.0,0.0,1.0
0.0,9.0,57.0,0.0,1.0
0.0,9.0,58.0,0.0,1.0
0.0,9.0,59.0,0.0,1.0
0.0,10.0,0.0,0.0,1.0
0.0,10.0,1.0,0.0,1.0
0.0,10.0,2.0,0.0,1.0
0.0,10.0,3.0,0.0,1.0
0.0,10.0,4.0,0.0,1.0
0.0,10.0,5.0,0.0,1.0
0.0,10.0,6.0,0.0,1.0
0.0,10.0,7.0,0.0,1.0
0.0,10.0,8.0,2.12e-43,1.0
0.0,10.0,9.0,2.0685159e-37,1.0
